,AppStore,2022-09-05,
4.973821989527576,AppStore,2023-09-10,
4.4852858,GooglePlay,2023-09-11,
4.925566343042824,AppStore,2023-09-11,
4.4860244,GooglePlay,2023-09-12,
4.879194630872483,AppStore,2023-09-12,
4.490207,GooglePlay,2023-09-13,
4.904545454545454,AppStore,2023-09-13,
4.491502,GooglePlay,2023-09-14,77352
4.893489220486395,AppStore,2023-09-14,385407
4.4897304,GooglePlay,2023-09-15,77403
4.893560030493655,AppStore,2023-09-15,385654
4.4862003,GooglePlay,2023-09-17,77508
4.893492105010994,AppStore,2023-09-17,386131
4.4882884,GooglePlay,2023-09-18,77561
4.893494171721982,AppStore,2023-09-18,386392
4.4881783,GooglePlay,2023-09-19,77620
4.893546693427202,AppStore,2023-09-19,386639
4.4875655,GooglePlay,2023-09-20,77673
4.893531993651417,AppStore,2023-09-20,386858
4.485833,GooglePlay,2023-09-21,77707
4.893524893623068,AppStore,2023-09-21,387067
4.4852657,GooglePlay,2023-09-22,77767
4.893505668629795,AppStore,2023-09-22,387307
4.4864454,GooglePlay,2023-09-23,77848
4.893476925934909,AppStore,2023-09-23,387578
4.486509,GooglePlay,2023-09-24,77886
4.893503941576476,AppStore,2023-09-24,387789
4.4833403,GooglePlay,2023-09-25,77931
4.89352967402257,AppStore,2023-09-25,388033
4.4831753,GooglePlay,2023-09-26,77980
4.893529893529894,AppStore,2023-09-26,388278
4.476612,GooglePlay,2023-09-27,78039
4.893535534484356,AppStore,2023-09-27,388524
4.4759555,GooglePlay,2023-09-28,78128
4.893536855100046,AppStore,2023-09-28,388820
4.4788265,GooglePlay,2023-09-29,78161
4.893474332511638,AppStore,2023-09-29,389033
4.481898,GooglePlay,2023-09-30,78230
4.89353953002155,AppStore,2023-09-30,389337
4.483804,GooglePlay,2023-10-01,78284
4.893538649513063,AppStore,2023-10-01,389578
4.4841905,GooglePlay,2023-10-02,78309
4.893552400374517,AppStore,2023-10-02,389835
4.4879527,GooglePlay,2023-10-04,78413
4.893584482255115,AppStore,2023-10-04,390366
4.4882474,GooglePlay,2023-10-06,78517
4.893611904250202,AppStore,2023-10-06,390852
4.4929132,GooglePlay,2023-10-07,78572
4.893644703578833,AppStore,2023-10-07,391217
4.495259,GooglePlay,2023-10-08,78625
4.893665776801338,AppStore,2023-10-08,391445
